数据时间,车辆状态,累计里程,总电压,总电流,电池单体电压最高值,电池单体电压最低值,最高温度值,最低温度值,可充电储能子系统各温度探针检测到的温度值,可充电储能装置电压,可充电储能装置电流,单体电池电压,驾驶习惯,充电量
2022-03-17 06:37:58,2.312,361396.6,356.964,-77.842,3.984,3.954,30.646,28.674,29.598,356.964,-77.842,3.966,8.055,61.875
2022-03-17 16:54:18,2.0,207582.8,357.753,-85.559,3.99,3.957,33.602,29.579,30.915,357.753,-85.559,3.975,7.896,62.772
2022-03-17 16:58:18,2.0,312449.0,355.885,-81.369,3.968,3.939,31.958,28.818,29.736,355.885,-81.369,3.956,8.113,64.485
2022-03-17 17:06:08,2.0,318070.9,359.96,-82.089,4.011,3.98,32.391,29.344,30.814,359.96,-82.089,3.998,7.936,57.934
2022-03-17 17:24:08,2.0,367791.1,359.982,-82.928,4.009,3.98,32.508,29.389,30.924,359.982,-82.928,3.999,7.797,57.605
2022-03-17 20:12:18,2.0,130415.7,360.121,-85.625,4.011,3.966,30.865,27.667,28.974,360.121,-85.625,4.003,7.864,59.472
2022-03-18 04:43:28,2.0,312699.8,357.448,-88.172,3.986,3.956,29.963,27.485,28.589,357.448,-88.172,3.973,8.088,65.181
2022-03-18 05:03:28,1.904,318304.5,360.247,-82.717,4.014,3.982,31.384,28.856,29.945,360.247,-82.717,4.001,7.768,56.995
2022-03-18 05:03:48,2.0,306106.5,357.226,-87.153,3.985,3.947,30.789,27.805,28.772,357.226,-87.153,3.972,7.991,63.944
2022-03-18 05:25:48,1.698,368011.6,359.662,-83.772,4.006,3.977,31.714,28.841,29.997,359.662,-83.772,3.995,8.056,58.193
2022-03-18 05:45:48,2.0,250607.9,357.578,-86.918,3.988,3.957,29.381,27.09,28.111,357.578,-86.918,3.972,7.966,64.248
2022-03-18 06:04:58,2.0,236209.6,357.874,-82.85,3.99,3.96,31.182,28.504,29.473,357.874,-82.85,3.977,7.986,62.614
2022-03-18 16:06:58,2.0,306286.0,356.747,-87.213,3.979,3.942,32.326,29.022,30.209,356.747,-87.213,3.967,7.952,64.96
2022-03-18 17:09:08,2.0,318499.8,357.487,-85.701,3.983,3.952,33.199,29.971,31.135,357.487,-85.701,3.97,7.986,64.31
2022-03-18 17:17:58,2.0,312918.6,358.929,-81.362,4.002,3.971,33.195,30.248,31.18,358.929,-81.362,3.989,7.982,59.666
2022-03-18 17:37:38,2.0,250813.8,358.079,-86.223,3.994,3.962,31.326,28.612,29.798,358.079,-86.223,3.978,7.942,61.336
2022-03-18 17:43:48,1.823,368306.5,358.862,-83.765,3.996,3.968,33.962,30.908,32.213,358.862,-83.765,3.986,7.796,60.053
2022-03-19 01:53:38,2.0,302793.6,356.741,-86.547,3.977,3.947,32.444,29.741,30.612,356.741,-86.547,3.963,7.853,64.699
2022-03-19 04:50:38,2.0,313161.2,357.047,-87.89,3.981,3.951,30.904,28.259,29.269,357.047,-87.89,3.968,7.911,65.457
